category,product_name,product_id,price,discount_price,product_url,image_urls,color_name,currency,filename,relative_path
men-clothing-blazers,IL GIACCO,PC002ULE192889405,1.020,,https://us.herno.com/en/men/outerwear/blazers/il-giacco-grey-PC002ULE192889405.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw45ea61c9/images/zoom/PC002ULE19288_9405_0.jpg?sw=710&sh=900&sm=fit,Grey,USD,men.html,men.html
men-clothing-parka,LA CAMICIA,PC004ULE192889405,995,,https://us.herno.com/en/men/outerwear/parka-and-jackets/la-camicia-grey-PC004ULE192889405.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw3ed96947/images/zoom/PC004ULE19288_9405_0.jpg?sw=710&sh=900&sm=fit,Grey,USD,men.html,men.html
men-clothing-blazers,BLAZER IN BYRON,GA000156U120101985,995,,https://us.herno.com/en/men/outerwear/blazers/blazer-in-byron-chantilly-GA000156U120101985.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dwd9e18a5c/images/zoom/GA000156U12010_1985_0.jpg?sw=710&sh=900&sm=fit,Chantilly,USD,men.html,men.html
men-clothing-blazers,IL GIACCO,PC002ULE192889250,1.020,,https://us.herno.com/en/men/outerwear/blazers/il-giacco-baltic-PC002ULE192889250.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw888810e7/images/zoom/PC002ULE19288_9250_0.jpg?sw=710&sh=900&sm=fit,Baltic,USD,men.html,men.html
men-clothing-gilet,SUEDE-LOOK SLEEVELESS JACKET,PI0016UNW124549300,1.350,,https://us.herno.com/en/men/outerwear/vests/suede-look-sleeveless-jacket-black-PI0016UNW124549300.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw4693efe1/images/zoom/PI0016UNW12454_9300_0.jpg?sw=710&sh=900&sm=fit,Black,USD,men.html,men.html
men-clothing-coats-and-trench-coats,BUSINESS CASHMERE COAT,CA0002UNW381039200,3.185,,https://us.herno.com/en/men/outerwear/coats-and-trench-coats/business-cashmere-coat-navy-blue-CA0002UNW381039200.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dwd9de04a7/images/zoom/CA0002UNW38103_9200_0.jpg?sw=710&sh=900&sm=fit,Navy Blue,USD,men.html,men.html
men-clothing-knitwear-tshirt-polo,T-SHIRT IN COMPACT JERSEY,JG000211U520009200,155,,https://us.herno.com/en/men/knitwear/t-shirts-and-polo-shirts/t-shirt-in-compact-jersey-navy-blue-JG000211U520009200.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw26f581e4/images/zoom/JG000211U52000_9200_0.jpg?sw=710&sh=900&sm=fit,Navy Blue,USD,men.html,men.html
men-apparel-trousers,NYLON JERSEY TROUSERS,PT000044U12588S9200,395,,https://us.herno.com/en/men/clothing/trousers/nylon-jersey-trousers-navy-blue-PT000044U12588S9200.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dwcb90c801/images/zoom/PT000044U12588S_9200_0.jpg?sw=710&sh=900&sm=fit,Navy Blue,USD,men.html,men.html
men-clothing-blazers,BLAZER IN NON-WASHED LIGHT SCUBA,GA000157U12359S7730,795,,https://us.herno.com/en/men/outerwear/blazers/blazer-in-non-washed-light-scuba-light-military-GA000157U12359S7730.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dweb73176b/images/zoom/GA000157U12359S_7730_0.jpg?sw=710&sh=900&sm=fit,Light Military,USD,men.html,men.html
men-apparel-trousers,TROUSERS IN LIGHT NYLON STRETCH,PT000041U12431S7730,375,,https://us.herno.com/en/men/clothing/trousers/trousers-in-light-nylon-stretch-light-military-PT000041U12431S7730.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw3c648b01/images/zoom/PT000041U12431S_7730_0.jpg?sw=710&sh=900&sm=fit,Light Military,USD,men.html,men.html
