user_category,product_url,product_name,price,discounted_price,image_urls,sizes,availability,label,filename
shoes,/products/bo0003faa3a58sbkfk-duerto-cowboy-boots-black-faded-black,Duerto Cowboy Boots,"1,150",,"//us.isabelmarant.com/cdn/shop/files/23ABO0003FA-A3A58S-BKFK-R.jpg?v=1713973047&width=1200, //us.isabelmarant.com/cdn/shop/files/23ABO0003FA-A3A58S-BKFK-D.jpg?v=1713973047&width=1200","35, 36, 37, 38, 39, 40, 41","available, available, available, available, available, available, available",,shoes.html
shoes,/products/bo0003fba3a02s50ta-duerto-low-boots-taupe,DUERTO Low Boots,"1,295",,"//us.isabelmarant.com/cdn/shop/files/23ABO0003FB-A3A02S-50TA-R.jpg?v=1713973013&width=480, //us.isabelmarant.com/cdn/shop/files/23ABO0003FB-A3A02S-50TA-D.jpg?v=1713973013&width=480","35, 36, 37, 38, 39, 40, 41","available, available, available, available, available, not available, available",,shoes.html
shoes,/products/sd0186fab2a01s01bk-dulsy-sandals-black,Dulsy Sandals,"1,150",,"//us.isabelmarant.com/cdn/shop/files/24ESD0186FA-B2A01S-01BK-A.jpg?v=1713762265&width=1200, //us.isabelmarant.com/cdn/shop/files/24ESD0186FA-B2A01S-01BK-D.jpg?v=1713762268&width=1200","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, available, available, available",,shoes.html
shoes,/products/es0002faa1a30s01bk-elina-pumps-black,Elina Pumps,800,,"//us.isabelmarant.com/cdn/shop/files/23PES0002FA-A1A30S-01BK-R.jpg?v=1713603234&width=480, //us.isabelmarant.com/cdn/shop/files/23PES0002FA-A1A30S-01BK-D.jpg?v=1713603234&width=480","35, 36, 37, 38, 39, 40, 41","not available, available, not available, available, available, available, available",,shoes.html
shoes,/products/es0002fab1a33s01bk-elina-pumps-black,Elina Pumps,800,,"//us.isabelmarant.com/cdn/shop/files/24PES0002FA-B1A33S-01BK-A.jpg?v=1713762302&width=1200, //us.isabelmarant.com/cdn/shop/files/24PES0002FA-B1A33S-01BK-D.jpg?v=1713762305&width=1200","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, available, available, not available",,shoes.html
shoes,/products/bk0019faa1e26s30bu-emree-sneakers-blue,Emree Sneakers,590,,"//us.isabelmarant.com/cdn/shop/files/23PBK0019FA-A1E26S-30BU-R.jpg?v=1713603292&width=1200, //us.isabelmarant.com/cdn/shop/files/23PBK0019FA-A1E26S-30BU-E.jpg?v=1713603292&width=1200","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, available, available, available",,shoes.html
shoes,/products/bk0019faa1e26sliye-emree-sneakers-light-yellow-yellow,Emree Sneakers,590,354,"//us.isabelmarant.com/cdn/shop/files/23PBK0019FA-A1E26S-LIYE-R.jpg?v=1713330056&width=1200, //us.isabelmarant.com/cdn/shop/files/23PBK0019FA-A1E26S-LIYE-D.jpg?v=1715932813&width=1200","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, not available, available, not available",,shoes.html
shoes,/products/bk0006haa1e04n30bu-emreeh-sneakers-blue,Emreeh Sneakers,610,,"//us.isabelmarant.com/cdn/shop/files/23PBK0006HA-A1E04N-30BU-R.jpg?v=1713793894&width=1200, //us.isabelmarant.com/cdn/shop/files/23PBK0006HA-A1E04N-30BU-F.jpg?v=1713793894&width=1200","39, 40, 41, 42, 43, 44, 45","not available, not available, available, available, available, available, available",,shoes.html
shoes,/products/bk0006haa1e04nliye-emreeh-sneakers-light-yellow-yellow,Emreeh Sneakers,610,366,"//us.isabelmarant.com/cdn/shop/files/23PBK0006HA-A1E04N-LIYE-R.jpg?v=1715932869&width=1200, //us.isabelmarant.com/cdn/shop/files/23PBK0006HA-A1E04N-LIYE-D.jpg?v=1715932869&width=1200","39, 40, 41, 42, 43, 44, 45","not available, not available, not available, available, available, available, available",,shoes.html
shoes,/products/sd0115fab1b08sbksi-enore-sandals-black-and-silver,Enore Sandals,860,,"//us.isabelmarant.com/cdn/shop/files/24PSD0115FA-B1B08S-BKSI-R.jpg?v=1714468313&width=1200, //us.isabelmarant.com/cdn/shop/files/24PSD0115FA-B1B08S-BKSI-A.jpg?v=1714468313&width=1200","35, 36, 37, 38, 39, 40, 41","not available, available, not available, available, available, not available, available",,shoes.html
shoes,/products/sd0030fab2b10s01bk-erol-sandals-black,Erol Sandals,650,,"//us.isabelmarant.com/cdn/shop/files/24ESD0030FA-B2B10S-01BK-R.jpg?v=1713603315&width=1200, //us.isabelmarant.com/cdn/shop/files/24ESD0030FA-B2B10S-01BK-D.jpg?v=1713603315&width=1200","35, 36, 37, 38, 39, 40, 41","not available, available, available, not available, not available, not available, available",,shoes.html
