category,name,product_id,product_url,image_url,full_price,discount_price,tag(s),filename
women_clothing,EKD Cotton T-shirt,80716351,https://us.burberry.com/ekd-cotton-t-shirt-p80716351,https://assets.burberry.com/is/image/Burberryltd/D43DAB78-ED33-4143-BA42-2198BC237011?$BBY_V3_SL_1.36$&wid=581&hei=788,$550.00,,,women_clothing.html
women_clothing,Cotton T-shirt,80691091,https://us.burberry.com/cotton-t-shirt-p80691091,https://assets.burberry.com/is/image/Burberryltd/1DFEF0B9-EBFC-4E44-96CF-580104AFC56C?$BBY_V3_SL_1.36$&wid=581&hei=788,$510.00,,,women_clothing.html
women_clothing,Cotton T-shirt,80691081,https://us.burberry.com/cotton-t-shirt-p80691081,https://assets.burberry.com/is/image/Burberryltd/03B00DCE-CBDB-4C0E-8449-131E4A51C364?$BBY_V3_SL_1.36$&wid=581&hei=788,$510.00,,,women_clothing.html
women_clothing,Logo Cotton T-shirt,80709731,https://us.burberry.com/logo-cotton-t-shirt-p80709731,https://assets.burberry.com/is/image/Burberryltd/D8E7B094-75E1-4630-B83F-A84450A84E42?$BBY_V3_SL_1.36$&wid=581&hei=788,$480.00,,,women_clothing.html
women_clothing,Logo Cotton T-shirt,80607031,https://us.burberry.com/logo-cotton-t-shirt-p80607031,https://assets.burberry.com/is/image/Burberryltd/3B112C29-F20C-4237-8069-0683B08B1FBC?$BBY_V3_SL_1.36$&wid=581&hei=788,$480.00,,,women_clothing.html
women_clothing,Logo Cotton T-shirt,80675291,https://us.burberry.com/logo-cotton-t-shirt-p80675291,https://assets.burberry.com/is/image/Burberryltd/3BC5CF03-18E3-4B14-A653-250F4E2013E2?$BBY_V3_SL_1.36$&wid=581&hei=788,$480.00,,Limited Availability,women_clothing.html
women_clothing,Logo Cotton T-shirt,80567241,https://us.burberry.com/logo-cotton-t-shirt-p80567241,https://assets.burberry.com/is/image/Burberryltd/4065C5EA-CF6B-4E9A-AF14-397C6311CF6C?$BBY_V3_SL_1.36$&wid=581&hei=788,$480.00,,,women_clothing.html
women_clothing,Logo Cotton T-shirt,80552511,https://us.burberry.com/logo-cotton-t-shirt-p80552511,https://assets.burberry.com/is/image/Burberryltd/A3CB787B-BE69-4DBA-BB94-1A4036BA6B56?$BBY_V3_SL_1.36$&wid=581&hei=788,$480.00,,,women_clothing.html
women_clothing,EKD Cotton T-shirt,80716681,https://us.burberry.com/ekd-cotton-t-shirt-p80716681,https://assets.burberry.com/is/image/Burberryltd/7F71DCE5-F350-4999-BE8C-E441715ABC29?$BBY_V3_SL_1.36$&wid=581&hei=788,$570.00,,,women_clothing.html
women_clothing,Cotton T-shirt,80709161,https://us.burberry.com/cotton-t-shirt-p80709161,https://assets.burberry.com/is/image/Burberryltd/ADC7AA7B-BEB0-41E1-9EFA-663819C7D259?$BBY_V3_SL_1.36$&wid=581&hei=788,$510.00,,,women_clothing.html
