product_id,category,item_name,quantity,inventory_ats,price,full_price,discount_name,pre_order,item_ean,item_master,item_category,item_category2,item_category3,image_url,product_url,filename
CF1XF085SD48EJS,womens-accessories,Pierre Balmain horse print silk square,1,0,390,650.00,SALE_SS24_40OFF|Free express shipping,no,,CF1XF085SD48,women,women-accessories,women-accessories-scarves,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/CF1XF085SD48EJSF?_i=AG",us.balmain.com/en/p/pierre-balmain-horse-print-silk-square-CF1XF085SD48EJS.html,womens-accessories.txt
CF1XG050KF98GAB,womens-accessories,Balmain Signature reversible scarf,1,0,465,775.00,SALE_SS24_40OFF|Free express shipping,no,,CF1XG050KF98,women,women-accessories,women-accessories-scarves,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/CF1XG050KF98GABF?_i=AG",us.balmain.com/en/p/balmain-signature-reversible-scarf-CF1XG050KF98GAB.html,womens-accessories.txt
BBPS151151A,womens-accessories,B-Muse Sunglasses,1,0,790,None,Free express shipping,no,,BBPS151,women,women-accessories,women-accessories-eyewear,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/BBPS151151AF?_i=AG",us.balmain.com/en/p/b-muse-sunglasses-BBPS151151A.html,womens-accessories.txt
BBPS151151C,womens-accessories,B-Muse Sunglasses,1,0,790,None,Free express shipping,no,,BBPS151,women,women-accessories,women-accessories-eyewear,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/BBPS151151CF?_i=AG",us.balmain.com/en/p/b-muse-sunglasses-BBPS151151C.html,womens-accessories.txt
BBPS151151B,womens-accessories,B-Muse Sunglasses,1,0,790,None,Free express shipping,no,,BBPS151,women,women-accessories,women-accessories-eyewear,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/BBPS151151BF?_i=AG",us.balmain.com/en/p/b-muse-sunglasses-BBPS151151B.html,womens-accessories.txt
BBPS147147B,womens-accessories,Major Sunglasses,1,0,950,None,Free express shipping,no,,BBPS147,men,men-accessories,men-accessories-eyewear,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/BBPS147147BF?_i=AG",us.balmain.com/en/p/major-sunglasses-BBPS147147B.html,womens-accessories.txt
CF1XA231CD29GFE,womens-accessories,Balmain Signature cap,1,0,270,450.00,SALE_SS24_40OFF|Free express shipping,no,,CF1XA231CD29,women,women-accessories,women-accessories-hats,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/CF1XA231CD29GFEF?_i=AG",us.balmain.com/en/p/balmain-signature-cap-CF1XA231CD29GFE.html,womens-accessories.txt
CF1XC015KF980PA,womens-accessories,Balmain Signature beanie,1,0,270,450.00,SALE_SS24_40OFF|Free express shipping,no,,CF1XC015KF98,women,women-accessories,women-accessories-hats,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/CF1XC015KF980PAF?_i=AG",us.balmain.com/en/p/balmain-signature-beanie-CF1XC015KF980PA.html,womens-accessories.txt
BN1RQ202LNPA0PA,womens-accessories,Balmain leather pompom charm,1,0,650,None,Free express shipping,no,,BN1RQ202LNPA,women,women-accessories,women-accessories-otheraccessories,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/BN1RQ202LNPA0PAF?_i=AG",us.balmain.com/en/p/balmain-leather-pompom-charm-BN1RQ202LNPA0PA.html,womens-accessories.txt
BN1RQ202LNPA3KB,womens-accessories,Balmain leather pompom charm,1,0,650,None,Free express shipping,no,,BN1RQ202LNPA,women,women-accessories,women-accessories-otheraccessories,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/BN1RQ202LNPA3KBF?_i=AG",us.balmain.com/en/p/balmain-leather-pompom-charm-BN1RQ202LNPA3KB.html,womens-accessories.txt
