"product_id","product_name","brand","price","currency","category","sub_category","color","product_url","image_url"
"45863419CS","Small Tess bag in shiny & suede leather","CHLOE","2450","USD","llbgs","Shoulder bag","SWEET BEIGE","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45863419cs.html",""
"45686048US","Small Tess bag in shiny and suede leather","CHLOE","2450","USD","llbgs","Shoulder bag","Light Tan","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45686048us.html","https://www.chloe.com/product_image/45686048US/f/w282.jpg"
"45626755NC","Small Tess bag in shiny and suede leather","CHLOE","2450","USD","llbgs","Shoulder bag","Sepia Brown","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45626755nc.html","https://www.chloe.com/product_image/45626755NC/f/w282.jpg"
"45626754TT","Small Tess bag in shiny and suede leather","CHLOE","2450","USD","llbgs","Shoulder bag","Motty Grey","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45626754tt.html","https://www.chloe.com/product_image/45626754TT/f/w282.jpg"
"45863418WR","Small Tess bag in shiny & suede leather","CHLOE","2450","USD","llbgs","Shoulder bag","Dark Khaki","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45863418wr.html","https://www.chloe.com/product_image/45863418WR/f/w282.jpg"
"45863420GN","Small Tess bag in shiny & suede leather","CHLOE","2450","USD","llbgs","Shoulder bag","Burnt Brown","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45863420gn.html","https://www.chloe.com/product_image/45863420GN/f/w282.jpg"
"45626753KJ","Small Tess bag in shiny and suede leather","CHLOE","2450","USD","llbgs","Shoulder bag","Black","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45626753kj.html","https://www.chloe.com/product_image/45626753KJ/f/w282.jpg"
"45686046EA","Mini Tess day bag in grained & soft leather","CHLOE","2290","USD","llbgs","Shoulder bag","Light Tan","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45686046ea.html","https://www.chloe.com/product_image/45686046EA/f/w282.jpg"
"45626751CK","Mini Tess day bag in grained & soft leather","CHLOE","2290","USD","llbgs","Shoulder bag","Motty Grey","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45626751ck.html","https://www.chloe.com/product_image/45626751CK/f/w282.jpg"
"45626750AV","Mini Tess day bag in grained & soft leather","CHLOE","2290","USD","llbgs","Shoulder bag","Black","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45626750av.html","https://www.chloe.com/product_image/45626750AV/f/w282.jpg"
"45851852NQ","Mini Chloé basket with chain in natural fibers","CHLOE","990","USD","llbgs","Shoulder bag","Black","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45851852nq.html","https://www.chloe.com/product_image/45851852NQ/f/w282.jpg"
"45851851QX","Mini Chloé basket in natural fibers","CHLOE","890","USD","llbgs","Shoulder bag","","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45851851qx.html","https://www.chloe.com/product_image/45851851QX/f/w282.jpg"
