"Cod10","Title","Price","position","category","macro_category","micro_category","macro_category_id","micro_category_id","color","color_id","product_price","discountedPrice","price_tf","discountedPrice_tf","quantity","coupon","is_in_stock","list","url","img_src","filename"
"54197681CL","Flared pants","4650","233","2298/29772","Ready-to-wear","Pants ","2298","29772","Black","23387","4650","2325","4650.0","2325.0","1","","True","searchresult","https://www.chloe.com/us/pants_cod54197681cl.html","https://www.chloe.com/product_image/54197681CL/f/w282.jpg","clothing.html"
"30167453GM","Flared midi skirt","4650","234","2298/29828","Ready-to-wear","Skirts","2298","29828","Black","23387","4650","2325","4650.0","2325.0","1","","True","searchresult","https://www.chloe.com/us/skirts_cod30167453gm.html","https://www.chloe.com/product_image/30167453GM/f/w282.jpg","clothing.html"
"16283014UJ","Collarless fitted jacket","4650","235","2298/29755","Ready-to-wear","Jackets ","2298","29755","Black","23387","4650","2325","4650.0","2325.0","1","","True","searchresult","https://www.chloe.com/us/jackets_cod16283014uj.html","https://www.chloe.com/product_image/16283014UJ/f/w282.jpg","clothing.html"
"15350375AT","Long flare dress","4650","236","2298/29827","Ready-to-wear","Dresses","2298","29827","Iconic Milk","1244","4650","2325","4650.0","2325.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15350375at.html","https://www.chloe.com/product_image/15350375AT/f/w282.jpg","clothing.html"
"15395524DM","Short tunic dress","2190","237","2298/29827","Ready-to-wear","Dresses","2298","29827","VANILLA ICE","37783","2190","2190","2190.0","2190.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15395524dm.html","https://www.chloe.com/product_image/15395524DM/f/w282.jpg","clothing.html"
"54204011AF","Cropped bootcut pants","3990","238","2298/29772","Ready-to-wear","Pants ","2298","29772","Black","23387","3990","1995","3990.0","1995.0","1","","True","searchresult","https://www.chloe.com/us/pants_cod54204011af.html","https://www.chloe.com/product_image/54204011AF/f/w282.jpg","clothing.html"
"16255630FP","Midi trench coat","3990","239","2298/29818","Ready-to-wear","Coats","2298","29818","Pearl Beige","32277","3990","1995","3990.0","1995.0","1","","True","searchresult","https://www.chloe.com/us/coats_cod16255630fp.html","https://www.chloe.com/product_image/16255630FP/f/w282.jpg","clothing.html"
"54206387WT","Short-sleeve jumpsuit","1950","240","2298/29772","Ready-to-wear","Pants ","2298","29772","Midnight","8620","1950","1950","1950.0","1950.0","1","","True","searchresult","https://www.chloe.com/us/pants_cod54206387wt.html","https://www.chloe.com/product_image/54206387WT/f/w282.jpg","clothing.html"
"15395519FA","Backless long dress","1950","241","2298/29827","Ready-to-wear","Dresses","2298","29827","Midnight","8620","1950","1950","1950.0","1950.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15395519fa.html","https://www.chloe.com/product_image/15395519FA/f/w282.jpg","clothing.html"
"54199964JW","Low-waist flare pants","3850","242","2298/29772","Ready-to-wear","Pants ","2298","29772","DARK CHESNUT","62287","3850","1925","3850.0","1925.0","1","","True","searchresult","https://www.chloe.com/us/pants_cod54199964jw.html","https://www.chloe.com/product_image/54199964JW/f/w282.jpg","clothing.html"
"16278472HG","Tie-front cape","3850","243","2298/29818","Ready-to-wear","Coats","2298","29818","Eden White","7355","3850","1925","3850.0","1925.0","1","","True","searchresult","https://www.chloe.com/us/coats_cod16278472hg.html","https://www.chloe.com/product_image/16278472HG/f/w282.jpg","clothing.html"
"15395534VP","Boat-neck flared dress","1890","244","2298/29827","Ready-to-wear","Dresses","2298","29827","White","23388","1890","1890","1890.0","1890.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15395534vp.html","https://www.chloe.com/product_image/15395534VP/f/w282.jpg","clothing.html"
"16255629XX","Color-block poncho","3750","245","2298/29818","Ready-to-wear","Coats","2298","29818","MULTICOLOR 3","61474","3750","1875","3750.0","1875.0","1","","True","searchresult","https://www.chloe.com/us/coats_cod16255629xx.html","https://www.chloe.com/product_image/16255629XX/f/w282.jpg","clothing.html"
"14364756CR","Kaftan-inspired maxi dress","3750","246","2298/29827","Ready-to-wear","Dresses","2298","29827","Multicolor Grey","7514","3750","1875","3750.0","1875.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod14364756cr.html","https://www.chloe.com/product_image/14364756CR/f/w282.jpg","clothing.html"
"15350374QH","Mock-neck knit dress","3690","247","2298/29827","Ready-to-wear","Dresses","2298","29827","Black","23387","3690","1845","3690.0","1845.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15350374qh.html","https://www.chloe.com/product_image/15350374QH/f/w282.jpg","clothing.html"
"16255625EK","Long wrap coat","3650","248","2298/29818","Ready-to-wear","Coats","2298","29818","Black","23387","3650","1825","3650.0","1825.0","1","","True","searchresult","https://www.chloe.com/us/coats_cod16255625ek.html","https://www.chloe.com/product_image/16255625EK/f/w282.jpg","clothing.html"
"16255654AW","Tailored jacket","3390","249","2298/29755","Ready-to-wear","Jackets ","2298","29755","MULTICOLOR 2","61221","3390","1695","3390.0","1695.0","1","","True","searchresult","https://www.chloe.com/us/jackets_cod16255654aw.html","https://www.chloe.com/product_image/16255654AW/f/w282.jpg","clothing.html"
"15326253HB","Sleeveless midi dress","3250","250","2298/29827","Ready-to-wear","Dresses","2298","29827","Iconic Milk","1244","3250","1625","3250.0","1625.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15326253hb.html","https://www.chloe.com/product_image/15326253HB/f/w282.jpg","clothing.html"
"15326252EU","Sleeveless midi dress","3250","251","2298/29827","Ready-to-wear","Dresses","2298","29827","Black","23387","3250","1625","3250.0","1625.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15326252eu.html","https://www.chloe.com/product_image/15326252EU/f/w282.jpg","clothing.html"
"30167464GD","Flared long skirt","3090","252","2298/29828","Ready-to-wear","Skirts","2298","29828","Black","23387","3090","1545","3090.0","1545.0","1","","True","searchresult","https://www.chloe.com/us/skirts_cod30167464gd.html","https://www.chloe.com/product_image/30167464GD/f/w282.jpg","clothing.html"
"15350376BV","Flared mini dress","2990","253","2298/29827","Ready-to-wear","Dresses","2298","29827","Black","23387","2990","1495","2990.0","1495.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15350376bv.html","https://www.chloe.com/product_image/15350376BV/f/w282.jpg","clothing.html"
"30167460TF","Ruched long skirt","2950","254","2298/29828","Ready-to-wear","Skirts","2298","29828","Multicolor 1","1245","2950","1475","2950.0","1475.0","1","","True","searchresult","https://www.chloe.com/us/skirts_cod30167460tf.html","https://www.chloe.com/product_image/30167460TF/f/w282.jpg","clothing.html"
"16283030XW","Single-breasted jacket","2900","255","2298/29755","Ready-to-wear","Jackets ","2298","29755","COCONUT MILK","38972","2900","1450","2900.0","1450.0","1","","True","searchresult","https://www.chloe.com/us/jackets_cod16283030xw.html","https://www.chloe.com/product_image/16283030XW/f/w282.jpg","clothing.html"
"15326251XD","Midi shirt dress","2890","256","2298/29827","Ready-to-wear","Dresses","2298","29827","Black","23387","2890","1445","2890.0","1445.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15326251xd.html","https://www.chloe.com/product_image/15326251XD/f/w282.jpg","clothing.html"
"15326254NR","Midi dress with print","2850","257","2298/29827","Ready-to-wear","Dresses","2298","29827","MULTICOLOR 2","61221","2850","1425","2850.0","1425.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15326254nr.html","https://www.chloe.com/product_image/15326254NR/f/w282.jpg","clothing.html"
"15326255PU","Balloon-sleeve dress","2750","258","2298/29827","Ready-to-wear","Dresses","2298","29827","Iconic Milk","1244","2750","1375","2750.0","1375.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15326255pu.html","https://www.chloe.com/product_image/15326255PU/f/w282.jpg","clothing.html"
"54186236LE","Signature flared trousers","1350","259","2298/29772","Ready-to-wear","Pants ","2298","29772","","","1350","1350","1350.0","1350.0","1","","True","searchresult","https://www.chloe.com/us/pants_cod54186236le.html","https://www.chloe.com/product_image/54186236LE/f/w282.jpg","clothing.html"
"54186235NA","Signature flared trousers","1350","260","2298/29772","Ready-to-wear","Pants ","2298","29772","","","1350","1350","1350.0","1350.0","1","","True","searchresult","https://www.chloe.com/us/pants_cod54186235na.html","https://www.chloe.com/product_image/54186235NA/f/w282.jpg","clothing.html"
"15326250FQ","Long sleeved midi dress","2690","261","2298/29827","Ready-to-wear","Dresses","2298","29827","Obscure Purple","4799","2690","1345","2690.0","1345.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15326250fq.html","https://www.chloe.com/product_image/15326250FQ/f/w282.jpg","clothing.html"
"30167463TD","Flared long skirt","2590","262","2298/29828","Ready-to-wear","Skirts","2298","29828","Black","23387","2590","1295","2590.0","1295.0","1","","True","searchresult","https://www.chloe.com/us/skirts_cod30167463td.html","https://www.chloe.com/product_image/30167463TD/f/w282.jpg","clothing.html"
"30167462QJ","Flared long skirt","2590","263","2298/29828","Ready-to-wear","Skirts","2298","29828","Barley Brown","14716","2590","1295","2590.0","1295.0","1","","True","searchresult","https://www.chloe.com/us/skirts_cod30167462qj.html","https://www.chloe.com/product_image/30167462QJ/f/w282.jpg","clothing.html"
"30102312BB","Flared maxi skirt","2590","264","2298/29828","Ready-to-wear","Skirts","2298","29828","Iconic Milk","1244","2590","1295","2590.0","1295.0","1","","True","searchresult","https://www.chloe.com/us/skirts_cod30102312bb.html","https://www.chloe.com/product_image/30102312BB/f/w282.jpg","clothing.html"
"30102311WV","Flared maxi skirt","2590","265","2298/29828","Ready-to-wear","Skirts","2298","29828","Black","23387","2590","1295","2590.0","1295.0","1","","True","searchresult","https://www.chloe.com/us/skirts_cod30102311wv.html","https://www.chloe.com/product_image/30102311WV/f/w282.jpg","clothing.html"
"16283024JM","Embroidered sweater","2590","266","2298/29770","Ready-to-wear","Knitwear","2298","29770","Multicolor 1","1245","2590","1295","2590.0","1295.0","1","","True","searchresult","https://www.chloe.com/us/knitwear_cod16283024jm.html","https://www.chloe.com/product_image/16283024JM/f/w282.jpg","clothing.html"
"16283018QK","Short wrap coat","2590","267","2298/29818","Ready-to-wear","Coats","2298","29818","Eden White","7355","2590","1295","2590.0","1295.0","1","","True","searchresult","https://www.chloe.com/us/coats_cod16283018qk.html","https://www.chloe.com/product_image/16283018QK/f/w282.jpg","clothing.html"
"16255656XA","Buttonless tailored jacket","2590","268","2298/29755","Ready-to-wear","Jackets ","2298","29755","Eden White","7355","2590","1295","2590.0","1295.0","1","","True","searchresult","https://www.chloe.com/us/jackets_cod16255656xa.html","https://www.chloe.com/product_image/16255656XA/f/w282.jpg","clothing.html"
"16255655VW","Buttonless tailored jacket","2590","269","2298/29755","Ready-to-wear","Jackets ","2298","29755","Black","23387","2590","1295","2590.0","1295.0","1","","True","searchresult","https://www.chloe.com/us/jackets_cod16255655vw.html","https://www.chloe.com/product_image/16255655VW/f/w282.jpg","clothing.html"
